Branch,Weather Event,Named Storm,Date of Weather Event,Year,Appropriation,Line Item/SAG,Line Item/SAG title,Details of Expense,Installation,State,Cost,Latitude,Longitude
USA,Tropical Storm,Cyclone #8,43922,2021,OMA,132,FSRM,"Compelte repairs of perimeter road, OMA Facility Repairs.  IGEs will be provided in FY25 and project repairs will then be seperated by infrastructure",Military Ocean Terminal Sunny Point,NC,1352802.0,33.998,-78.034
USAR,Hurricane (Typhoon),Milton,43932,2021,OMAR,132,FSRM,Replace Exterior Windows,Orlando,FL,2150947.0,28.5383,-81.3792
USAR,Hurricane (Typhoon),Milton,43933,2021,OMAR,132,FSRM,"Repair Exterior, HVAC, and Interior Water Damage",St. Petersburg,FL,312131.0,27.7676,-82.6403
USAR,Hurricane (Typhoon),Helene,43939,2021,OMAR,132,FSRM,Replace Roof and  Repair Interior Water Damage,Fort Jackson,SC,1687158.0,34.0166,-80.9398
USAR,Hurricane (Typhoon),Milton,43943,2021,OMAR,132,FSRM,Repair Interior Water Damage,Tampa,FL,3671647.0,27.9506,-82.4572
USA,Winter Storm,,43943,2021,OMA,132,FSRM,Real property facilities (35) affected from freezing temperature,Fort Leavenworth,KS,3331992.0,39.3597,-94.9225
USAR,High Wind,,43946,2021,OMAR,132,FSRM,50' Tree Uprooted,Baltimore,MD,3779803.0,39.2904,-76.6122
USAR,Hurricane (Typhoon),Milton,43948,2021,OMAR,132,FSRM,Repair Interior Water Damage,Tampa,FL,2046981.0,27.9506,-82.4572
USA,Hurricane (Typhoon),Milton,43953,2021,NAF,NAF,Unk,Express Café bus stop area water leak,Shades of Green Resort,FL,2599162.0,28.4094,-81.5916
USA,Tropical Storm,Cyclone #8,43954,2021,TWCF,Unk,932,"Repair Interior rail (Tracks 20/21/45A and 46), TWCF infrastructure pepairs to include but not limited to Berms/bldgs/ammo holding pads.  IGE will be provided in FY25 and project repairs will then be seperated by infrastructure.  MISSION ESSENTIAL REPAIRS",Military Ocean Terminal Sunny Point,NC,3629020.0,33.998,-78.034
USAR,Hurricane (Typhoon),Helene,43957,2021,OMAR,132,FSRM,Replace Light Pole Damaged from Hurricane Winds,St. Petersburg,FL,110290.0,27.7676,-82.6403
USAR,Hurricane (Typhoon),Milton,43957,2021,OMAR,132,FSRM,Replace Exterior HVAC Equipment,Tallahassee,FL,1259609.0,30.4383,-84.2807
USA,Hurricane (Typhoon),Helene,43959,2021,OMA,121,Unk,"Labor,Travel, OT",Fort Eisenhower,GA,1905017.0,33.4166,-82.1637
USA,Hurricane (Typhoon),Helene,43965,2021,OMA,132,FSRM,"Legacy Blvd: Failed Storm Drain and Road Erosion 32.374378, -84.957331",Fort Moore,GA,4460723.0,32.3632,-84.9493
USAR,Hurricane (Typhoon),Helene,43965,2021,OMAR,132,FSRM,Repair Roof and Interior Water Damage,Tampa,FL,711113.0,27.9506,-82.4572
USA,Hurricane (Typhoon),Helene,43966,2021,OMA,131,Unk,"Emergency Portable Latrines, Loabor, Travel OT, Tree Removal, Debris Clean up due to no water/power",Fort Eisenhower,GA,2135815.0,33.4166,-82.1637
USA,Tropical Storm,Cyclone #8,43966,2021,OMA,132,FSRM,Emergency Perimeter Road and Security Fencing - FY24 repairs secure perimeter fence and fix 5 areas on road to allow vehical passage. TERMINAL SECURITY REPAIR,Military Ocean Terminal Sunny Point,NC,3274722.0,33.998,-78.034
USA,Hurricane (Typhoon),Milton,43967,2021,NAF,NAF,Unk,Hotel Entry--Landscaping Fallen tree,Shades of Green Resort,FL,3916528.0,28.4094,-81.5916
USA,Hurricane (Typhoon),Debby,43981,2021,OMA,132,FSRM,"Tank trails,ranges and bridges",Fort Stewart,GA,1814147.0,31.8691,-81.6096
USAR,Hurricane (Typhoon),Milton,43983,2021,OMAR,132,FSRM,"Repair Exterior, HVAC, and Interior Water Damage",St. Petersburg,FL,970462.0,27.7676,-82.6403
ANG,High Wind,,43988,2021,OMNG,132G76,Restoration,PN 467114: High winds; roof section of area 4 on the CSMS 1 shop has 2 large rips in the membrane and multiple smaller rips around mechanical equipment.,Mitchell,SD,3625406.0,43.7094,-98.0298
ANG,Hurricane (Typhoon),Helene,43990,2021,OMNG,132G76,Restoration,"PN 12224127: Replace roofing for 37,600 SF on Readiness Center. Assess and repair damages with scheduling to perform temporary roof repairs. Repair of multiple leaks near roof drains, replacement of components for permanent repair of roof or restored back to 20 year life cycle.",Tallahassee Readiness Center Field Maintenance Shop 13,FL,4257915.0,30.4358,-84.2841
USA,Hurricane (Typhoon),Helene,43996,2021,OMA,132,FSRM,Facility and Infrastructure Damage still under assessment,Fort Eisenhower,GA,2882604.0,33.4166,-82.1637
USAR,Hurricane (Typhoon),Helene,44004,2021,OMAR,132,FSRM,Repair Roof Leaks and Interior Water Damage,Knoxville,TN,254270.0,35.9606,-83.9207
USAR,Hurricane (Typhoon),Helene,44005,2021,OMAR,132,FSRM,Remove Tree,Aiken,SC,539388.0,33.5604,-81.7196
USAR,Hurricane (Typhoon),Helene,44016,2021,OMAR,132,FSRM,Repair Roof and Interior Water Damage,Tampa,FL,3323454.0,27.9506,-82.4572
USA,Tropical Storm,Cyclone #8,44016,2021,OMA,132,FSRM,Emergency Road Bridge Insepction  ,Military Ocean Terminal Sunny Point,NC,1019086.0,33.998,-78.034
ANG,Hurricane (Typhoon),Milton,44022,2021,OMNG,132G76,Restoration,Roof Leaks,DeLand Readiness Center,FL,2106197.0,29.028318,-81.303116
USAR,High Wind,,44022,2021,OMAR,132,FSRM,50' Tree Uprooted,Baltimore,MD,4711553.0,39.2904,-76.6122
ANG,Hurricane (Typhoon),Milton,44026,2021,OMNG,132G76,Restoration,Roof Leaks,Mark Lance Readiness Center,FL,3869741.0,29.9108,-81.3208
USA,Hurricane (Typhoon),Helene,44028,2021,OMA,132,FSRM,"Marine Road: Bike Trail Retaining Wall and Road Erosion 32.372155, -84.931612",Fort Moore,GA,4452058.0,32.3632,-84.9493
ANG,Hurricane (Typhoon),Milton,44035,2021,OMNG,132G76,Restoration,Roof Leaks,DeLand Readiness Center,FL,2694239.0,29.028318,-81.303116
ANG,Hurricane (Typhoon),Helene,44035,2021,OMNG,132G76,Restoration,PN 12224128: Assess and repair HVAC controls and conduct technical system balancing to ensure proper performance and operation of Unit(s). Adjust fence mechanisms as necessary to return functions to full mission capabilities.,Jacksonville Cecil Field Army Aviation Support Facility 1,FL,3062478.0,30.2187,-81.876
USAR,Hurricane (Typhoon),Milton,44047,2021,OMAR,132,FSRM,"Repair Exterior, HVAC, and Interior Water Damage",St. Petersburg,FL,4067982.0,27.7676,-82.6403
USA,Tropical Storm,Cyclone #8,44047,2021,OMA,132,FSRM,"Compelte repairs of perimeter road, OMA Facility Repairs.  IGEs will be provided in FY25 and project repairs will then be seperated by infrastructure",Military Ocean Terminal Sunny Point,NC,963904.0,33.998,-78.034
USA,Winter Storm,,44050,2021,OMA,132,FSRM,Winter Storm,Fort Riley,KS,2463612.0,39.0872,-96.8136
ANG,Hurricane (Typhoon),Milton,44053,2021,OMNG,132G76,Restoration,Roof Leaks,DeLand Readiness Center,FL,3026118.0,29.028318,-81.303116
USA,Tornado,,44055,2021,OMA,121,Unk,"Strong winds, Damage to range structures",Fort Cavazos,TX,949650.0,31.134,-97.78
USA,Hurricane (Typhoon),Helene,44062,2021,OMA,132,FSRM,"Vibbert Ave: Failed Storm Drain 32.363269, -84.976283",Fort Moore,GA,730873.0,32.3632,-84.9493
USA,Tropical Storm,Cyclone #8,44063,2021,TWCF,Unk,932,Emergency PTC8 Tressel Rail Bridge inspections - to ensure there is no underwater dammage to bridges MISSION ESSENTIAL,Military Ocean Terminal Sunny Point,NC,4165606.0,33.998,-78.034
USA,Tropical Storm,Cyclone #8,44065,2021,OMA,132,FSRM,"Compelte repairs of perimeter road, OMA Facility Repairs.  IGEs will be provided in FY25 and project repairs will then be seperated by infrastructure",Military Ocean Terminal Sunny Point,NC,3699277.0,33.998,-78.034
USA,Tropical Storm,Cyclone #8,44070,2021,OMA,132,FSRM,Emergency Road Bridge Insepction  ,Military Ocean Terminal Sunny Point,NC,3715568.0,33.998,-78.034
USAR,Thunderstorm Wind,,44074,2021,OMAR,132,FSRM,Cooling system damage (Lightning Strike),St. Petersburg,FL,3155855.0,27.7676,-82.6403
USAR,Hurricane (Typhoon),Helene,44079,2021,OMAR,132,FSRM,Repair Roof and Interior Water Damage,Tampa,FL,1836380.0,27.9506,-82.4572
USAR,High Wind,,44081,2021,OMAR,132,FSRM,50' Tree fell through MEP Fenceline,Edgemont,PA,1610288.0,39.949,-75.4416
ANG,Hurricane (Typhoon),Milton,44083,2021,OMNG,132G76,Restoration,"Roof Leaks, Gate, and Overhang Damage",Wauchula Readiness Center,FL,1317104.0,27.5475,-81.8115
USA,Hurricane (Typhoon),Helene,44087,2021,OMA,131,Unk,Replace LMR Tower,Fort Stewart,GA,4973997.0,31.8691,-81.6096
USAR,Hurricane (Typhoon),Milton,44090,2021,OMAR,132,FSRM,"Repair Window Leaks, Roof and Interior Water Damages",MacDill Air Force Base,FL,2645215.0,27.8493,-82.5212
USAR,Hurricane (Typhoon),Francine,44090,2021,OMAR,132,FSRM,Repair Interior Water Damage,New Orleans,LA,1274143.0,29.9511,-90.0715
USAR,Hurricane (Typhoon),Helene,44091,2021,OMAR,132,FSRM,Replace Roof and  Repair Interior Water Damage,Fort Jackson,SC,687624.0,34.0166,-80.9398
USA,Hurricane (Typhoon),Debby,44095,2021,OMA,132,FSRM,Flooding,Fort Liberty,NC,2914062.0,35.1402,-79.006
USA,Tropical Storm,Cyclone #8,44101,2021,TWCF,Unk,932,"Repair Interior rail (Tracks 20/21/45A and 46), TWCF infrastructure pepairs to include but not limited to Berms/bldgs/ammo holding pads.  IGE will be provided in FY25 and project repairs will then be seperated by infrastructure.  MISSION ESSENTIAL REPAIRS",Military Ocean Terminal Sunny Point,NC,1770413.0,33.998,-78.034
ANG,Winter Weather,,44101,2021,OMNG,132G76,Restoration,PN 53240061: Pacific Northwest Sub Arctic Blast/Winter Storm.  Pipes burst causing flooding and damages to the building interiors.,Multiple Sites,WA,3795217.0,,
USA,Hurricane (Typhoon),Debby,44102,2021,OMA,132,FSRM,Flooding,Fort Liberty,NC,2004541.0,35.1402,-79.006
USA,Hurricane (Typhoon),Milton,44103,2021,NAF,NAF,Unk,Banquets Area Fence damage,Shades of Green Resort,FL,4141916.0,28.4094,-81.5916
USA,Tornado,,44105,2021,OMA,132,FSRM,"Strong winds, 16 bldgs affected, roof repairs, gutters, downspouts, HVAC",Fort Cavazos,TX,3676468.0,31.134,-97.78
USA,Hurricane (Typhoon),Helene,44106,2021,OMA,132,FSRM,"Sunshine Road #3 Utility Pole Erosion 32.281646, -84.905253",Fort Moore,GA,2469457.0,32.3632,-84.9493
USAR,Hurricane (Typhoon),Milton,44107,2021,OMAR,132,FSRM,"Repair Bay Door, Gates, Access Control System, and Roof Ventilation",Clearwater,FL,2055651.0,27.9659,-82.8001
ANG,Hurricane (Typhoon),Milton,44107,2021,OMNG,132G76,Restoration,Roof Leaks,Bradenton Readiness Center,FL,3488380.0,27.498928,-82.574821
USA,Hurricane (Typhoon),Helene,44112,2021,OMA,132,FSRM,"Marine Road: Bike Trail Retaining Wall and Road Erosion 32.372155, -84.931612",Fort Moore,GA,158754.0,32.3632,-84.9493
USA,Tornado,,44114,2021,OMA,132,FSRM,"Strong winds, 16 bldgs affected, roof repairs, gutters, downspouts, HVAC",Fort Cavazos,TX,1782487.0,31.134,-97.78
USAR,Hurricane (Typhoon),Helene,44114,2021,OMAR,132,FSRM,Repair Roof Leaks and Interior Water Damage,Greenville,SC,1702516.0,34.8526,-82.394
USA,Hail,,44118,2021,OMA,132,FSRM,Roof Damage and Uprooted Trees,Fort Bliss,TX,4684917.0,31.8129,-106.421
USA,Hurricane (Typhoon),Helene,44121,2021,OMA,NAF,Unk,"Sunshine Road #1 Major Road Settling and Erosion 32.275039, -84.900504",Fort Moore,GA,3496067.0,32.3632,-84.9493
USA,Hurricane (Typhoon),Helene,44129,2021,OMA,132,FSRM,"Marine Road: Bike Trail Retaining Wall and Road Erosion 32.372155, -84.931612",Fort Moore,GA,3484019.0,32.3632,-84.9493
USA,Hurricane (Typhoon),Helene,44130,2021,OMA,132,FSRM,"Sunshine Road #3 Utility Pole Erosion 32.281646, -84.905253",Fort Moore,GA,2019867.0,32.3632,-84.9493
USAR,Hurricane (Typhoon),Helene,44132,2021,OMAR,132,FSRM,Repair Roof Leaks and Interior Water Damage,Greenville,SC,1227879.0,34.8526,-82.394
USA,Hurricane (Typhoon),Milton,44132,2021,NAF,NAF,Unk,Palm BOH (back off house) Contracting Office water leak,Shades of Green Resort,FL,4713625.0,28.4094,-81.5916
USA,Hurricane (Typhoon),Helene,44136,2021,OMA,132,FSRM,"Sunshine Road #4 Depression in Asphalt 32.275634, -84.873116",Fort Moore,GA,1853210.0,32.3632,-84.9493
USAR,Hurricane (Typhoon),Helene,44136,2021,OMAR,132,FSRM,Repair Roof Leaks and Interior Water Damage,Greenville,SC,3140237.0,34.8526,-82.394
USA,Hurricane (Typhoon),Milton,44137,2021,NAF,NAF,Unk,Palm Wing wet carpet (various),Shades of Green Resort,FL,810696.0,28.4094,-81.5916
USA,Hurricane (Typhoon),Milton,44141,2021,NAF,NAF,Unk,Palm Wing 5th floor room damage,Shades of Green Resort,FL,3442762.0,28.4094,-81.5916
USAR,Tropical Storm,Debby,44142,2021,OMAR,132,FSRM,Flooding and fallen tree,Lodi,NJ,4762689.0,40.8823,-74.0832
USA,Hurricane (Typhoon),Helene,44151,2021,OPA/AWCF,Unk,Unk,"Facility and Infrastructure Damage Estimates still under development.  Facility Repairs, multiple facilities.  Validation inspection to be scheduled on site for Contractor's ROM submittal of repairs ",Radford Army Ammunition Plant,VA,2124018.0,37.1814,-80.5816
ANG,Hurricane (Typhoon),Beryl,44152,2021,OMNG,132G76,Restoration,"PN  48240100 / 48240200: Heavy wind and heavy rains caused wind and water damage impacting the roof, flooring, ceiling, lighting,flashing, windows, doors, finishings, and HVAC of the Ellington Field AASF Hangerand Readiness Center, and the roof, flooring, ceiling, lighting,windows, doors, and finishings of the Angleton Readiness Center",Ellington Field / Angleton,TX,4588530.0,29.6073,-95.1588
USA,Hurricane (Typhoon),Helene,44158,2021,OMA,132,FSRM,"Sunshine Road #2 Road Settling 32.277592, -84.902506",Fort Moore,GA,494071.0,32.3632,-84.9493
USAR,Thunderstorm Wind,,44159,2021,OMAR,132,FSRM,Fence damage due to fallen tree,Gainesville,GA,1118831.0,34.2979,-83.8241
USA,Tropical Storm,Cyclone #8,44163,2021,OMA,132,FSRM,Emergency Road Bridge Insepction  ,Military Ocean Terminal Sunny Point,NC,4178509.0,33.998,-78.034
USAR,Hurricane (Typhoon),Francine,44168,2021,OMAR,132,FSRM,Repair Interior Water Damage,New Orleans,LA,3854075.0,29.9511,-90.0715
USAR,Hurricane (Typhoon),Milton,44174,2021,OMAR,132,FSRM,Repair Interior Water Damage,Tampa,FL,4379896.0,27.9506,-82.4572
ANG,High Wind,,44179,2021,OMNG,132G76,Restoration,"PN 09A4524002: Roof Replacement for the Main Hangar Building 320 located at Connecticut’s AVCRAD in Groton, Connecticut as a result of high winds.",Groton,CT,4404419.0,41.3498,-72.0791
USA,Hurricane (Typhoon),Helene,44179,2021,OMA,131,Unk,Replace LMR Tower,Fort Stewart,GA,3974580.0,31.8691,-81.6096
USAR,Thunderstorm Wind,,44180,2021,OMAR,132,FSRM,Cooling system damage (Lightning Strike),St. Petersburg,FL,4937204.0,27.7676,-82.6403
USAR,Hurricane (Typhoon),Helene,44184,2021,OMAR,132,FSRM,Remove Tree,Aiken,SC,684862.0,33.5604,-81.7196
USAR,Hurricane (Typhoon),Helene,44196,2021,OMAR,132,FSRM,Repair Roof and Interior Water Damage,Tampa,FL,1524700.0,27.9506,-82.4572
USAR,Hurricane (Typhoon),Helene,43832,2022,OMAR,132,FSRM,Replace Light Pole Damaged from Hurricane Winds,Miami,FL,378179.0,25.7617,-80.1918
ANG,Hurricane (Typhoon),Helene,43834,2022,OMNG,132G76,Restoration,"PN 12224127: Replace roofing for 37,600 SF on Readiness Center. Assess and repair damages with scheduling to perform temporary roof repairs. Repair of multiple leaks near roof drains, replacement of components for permanent repair of roof or restored back to 20 year life cycle.",Tallahassee Readiness Center Field Maintenance Shop 13,FL,2072865.0,30.4358,-84.2841
USAR,Hurricane (Typhoon),Helene,43838,2022,OMAR,132,FSRM,Remove Tree,Aiken,SC,918070.0,33.5604,-81.7196
USAR,Hurricane (Typhoon),Milton,43847,2022,OMAR,132,FSRM,Replace Exterior Windows,Orlando,FL,2709398.0,28.5383,-81.3792
ANG,Hurricane (Typhoon),Milton,43851,2022,OMNG,132G76,Restoration,Rain Gutter Damages,Bradenton Readiness Center,FL,3995344.0,27.498928,-82.574821
USAR,Hurricane (Typhoon),Helene,43856,2022,OMAR,132,FSRM,Repair Fence,Asheville,NC,3133887.0,35.5951,-82.5515
USA,Hurricane (Typhoon),Helene,43856,2022,OMA,132,FSRM,Miscellaneous Demand Maintenance Orders - 188 total,Hunter Army Airfield,GA,1878410.0,32.0146,-81.1457
USA,High Surf,,43858,2022,RDT&E,DW7,QRPA,Roi-Namur Island,Kwajalein,MH,3323488.0,9.1898,167.4243
USAR,High Wind,,43860,2022,OMAR,132,FSRM,50' Tree fell through MEP Fenceline,Edgemont,PA,4287642.0,39.949,-75.4416
USAR,Hurricane (Typhoon),Helene,43860,2022,OMAR,132,FSRM,Replace Roof and  Repair Interior Water Damage,Charleston,SC,2097383.0,32.7765,-79.9311
USA,Tropical Storm,Cyclone #8,43860,2022,OMA,132,FSRM,Emergency Center Wharf Entrance Repair - storm water undermined N entrance to CW.  Repair required for MISSION.  MISSION ESSENTIAL REPAIR,Military Ocean Terminal Sunny Point,NC,1462867.0,33.998,-78.034
USA,Tropical Storm,Cyclone #8,43861,2022,OMA,132,FSRM,Emergency Brunswick Road - Repair road - road undermined for MISSION ESSENTIAL REPAIR,Military Ocean Terminal Sunny Point,NC,2244808.0,33.998,-78.034
USAR,Hurricane (Typhoon),Milton,43861,2022,OMAR,132,FSRM,Replace Exterior Windows,Orlando,FL,1400948.0,28.5383,-81.3792
ANG,Hurricane (Typhoon),Milton,43862,2022,OMNG,132G76,Restoration,Roof Leaks,DeLand Readiness Center,FL,2725593.0,29.028318,-81.303116
USA,Hurricane (Typhoon),Helene,43862,2022,OMA,131,Unk,"Emergency Portable Latrines, Loabor, Travel OT, Tree Removal, Debris Clean up due to no water/power",Fort Eisenhower,GA,854749.0,33.4166,-82.1637
ANG,Hurricane (Typhoon),Beryl,43865,2022,OMNG,132G76,Restoration,"PN  48240100 / 48240200: Heavy wind and heavy rains caused wind and water damage impacting the roof, flooring, ceiling, lighting,flashing, windows, doors, finishings, and HVAC of the Ellington Field AASF Hangerand Readiness Center, and the roof, flooring, ceiling, lighting,windows, doors, and finishings of the Angleton Readiness Center",Ellington Field / Angleton,TX,2183417.0,29.6073,-95.1588
USA,Hurricane (Typhoon),Helene,43865,2022,OMA,132,FSRM,"Repair roofs, siding, fencing, doors, windows in 38 facilities",Hunter Army Airfield,GA,2066332.0,32.0146,-81.1457
USA,Strong Wind,,43866,2022,OMA,132,FSRM,"Wind storm:  Multiple bldgs, roof repairs, gutters, fascia",Fort Leavenworth,KS,4389717.0,39.3597,-94.9225
ANG,Earthquake,,43867,2022,OMNG,132G76,Restoration,"PN 34FD029: Repairs to interior and exterior structural damage to the JFHQ Building 3650, JBMDL caused by 4.8 mag earthquake.",Joint Base McGuire-Dix-Lakehurst,NJ,2729441.0,40.0156,-74.5917
ANG,Hurricane (Typhoon),Helene,43867,2022,OMNG,132G76,Restoration,PN 12224128: Assess and repair HVAC controls and conduct technical system balancing to ensure proper performance and operation of Unit(s). Adjust fence mechanisms as necessary to return functions to full mission capabilities.,Jacksonville Cecil Field Army Aviation Support Facility 1,FL,3998637.0,30.2187,-81.876
USAR,Hurricane (Typhoon),Milton,43869,2022,OMAR,132,FSRM,Repair Interior Water Damage,Tampa,FL,306809.0,27.9506,-82.4572
USA,Tropical Storm,Cyclone #8,43872,2022,TWCF,Unk,932,"Repair Interior rail (Tracks 20/21/45A and 46), TWCF infrastructure pepairs to include but not limited to Berms/bldgs/ammo holding pads.  IGE will be provided in FY25 and project repairs will then be seperated by infrastructure.  MISSION ESSENTIAL REPAIRS",Military Ocean Terminal Sunny Point,NC,2705197.0,33.998,-78.034
USA,Hurricane (Typhoon),Helene,43878,2022,OMA,131,Unk,Replace tower Morgans Bridge,Fort Stewart,GA,1182724.0,31.8691,-81.6096
ANG,Hurricane (Typhoon),Milton,43879,2022,OMNG,132G76,Restoration,"Roof, Gutter, Fence Damage",Saint Petersburg Readiness Center,FL,1943445.0,27.7676,-82.6403
ANG,Hurricane (Typhoon),Helene,43880,2022,OMNG,132G76,Restoration,PN 12224128: Assess and repair HVAC controls and conduct technical system balancing to ensure proper performance and operation of Unit(s). Adjust fence mechanisms as necessary to return functions to full mission capabilities.,Jacksonville Cecil Field Army Aviation Support Facility 1,FL,4708119.0,30.2187,-81.876
USAR,Hurricane (Typhoon),Helene,43881,2022,OMAR,132,FSRM,Replace Roof and  Repair Interior Water Damage,Charleston,SC,2459009.0,32.7765,-79.9311
USA,High Surf,,43881,2022,RDT&E,DW7,QRPA,Roi-Namur Island,Kwajalein,MH,4124208.0,9.1898,167.4243
USAR,Hurricane (Typhoon),Francine,43886,2022,OMAR,132,FSRM,Repair Interior Water Damage,New Orleans,LA,4010682.0,29.9511,-90.0715
USA,Tropical Storm,Cyclone #8,43892,2022,OMA,132,FSRM,Emergency Road Bridge Insepction  ,Military Ocean Terminal Sunny Point,NC,1008964.0,33.998,-78.034
USA,Hurricane (Typhoon),Milton,43898,2022,NAF,NAF,Unk,Hotel Landscaping--North West side Fallen trees,Shades of Green Resort,FL,3839661.0,28.4094,-81.5916
USA,Hurricane (Typhoon),Debby,43902,2022,OMA,132,FSRM,Miscellaneous Demand Maintenance Orders - 54 total,Hunter Army Airfield,GA,406507.0,32.0146,-81.1457
USAR,Hurricane (Typhoon),Helene,43910,2022,OMAR,132,FSRM,Replace Light Pole Damaged from Hurricane Winds,St. Petersburg,FL,2418857.0,27.7676,-82.6403
USA,Strong Wind,,43911,2022,OMA,132,FSRM,"Wind storm:  Multiple bldgs, roof repairs, gutters, fascia",Fort Leavenworth,KS,2621431.0,39.3597,-94.9225
USA,Hurricane (Typhoon),Helene,43915,2022,OMA,132,FSRM,"Repair roofs, siding, fencing, doors, windows in 38 facilities",Hunter Army Airfield,GA,220458.0,32.0146,-81.1457
USA,High Surf,,43916,2022,RDT&E,DW7,QRPA,Roi-Namur Island,Kwajalein,MH,269729.0,9.1898,167.4243
ANG,Hurricane (Typhoon),Helene,43924,2022,OMNG,132G76,Restoration,"PN 12224129: Analyze, assess, repair and replace multiple components throughout the facility. North wing: 8,016 SF of steep sloped metal (RSL 7); South Wing - 3,609 SF steep slope formed metal (RSL20). Scope of work requires assessment and repairs on North Wing and South Wing roof along with replacement of wet ceiling tiles",Tampa Readiness Center Field Maintenance Shop 4,FL,4730511.0,27.9713,-82.4454
ANG,Thunderstorm Wind,,43926,2022,OMNG,132G76,Restoration,"PNs 5424037 / 542438: EF1 Tornadic Winds damaged both Dunbar Armory and Eleanor CSM. Repair or replace damaged drywall, water damage to doors and roof. ",Eleanor / Dunbar,WV,3423459.0,38.5351,-81.8196
USAR,High Wind,,43928,2022,OMAR,132,FSRM,50' Tree fell through MEP Fenceline,Edgemont,PA,857938.0,39.949,-75.4416
USA,Tropical Storm,Cyclone #8,43928,2022,OMA,132,FSRM,Emergency Road Bridge Insepction  ,Military Ocean Terminal Sunny Point,NC,3988206.0,33.998,-78.034
USAR,Tropical Storm,Debby,43928,2022,OMAR,132,FSRM,Flooding and fallen tree,Lodi,NJ,593432.0,40.8823,-74.0832
USAR,Hurricane (Typhoon),Milton,43929,2022,OMAR,132,FSRM,"Repair Window Leaks, Roof and Interior Water Damages",MacDill Air Force Base,FL,345385.0,27.8493,-82.5212
USA,Tropical Storm,Cyclone #8,43940,2022,OMA,132,FSRM,"Compelte repairs of perimeter road, OMA Facility Repairs.  IGEs will be provided in FY25 and project repairs will then be seperated by infrastructure",Military Ocean Terminal Sunny Point,NC,4377143.0,33.998,-78.034
ANG,Hurricane (Typhoon),Milton,43940,2022,OMNG,132G76,Restoration,"Soffit, air ducts,and  roof top A/C damages.  Clogged Drainage, Erosion, and concrete rupture.",Sarasota Readiness Center,FL,547257.0,27.3412,-82.5283
USAR,Hurricane (Typhoon),Helene,43942,2022,OMAR,132,FSRM,Remove Tree,Aiken,SC,2353812.0,33.5604,-81.7196
USA,Tropical Storm,Cyclone #8,43948,2022,OMA,132,FSRM,Emergency Brunswick Road - Repair road - road undermined for MISSION ESSENTIAL REPAIR,Military Ocean Terminal Sunny Point,NC,4480971.0,33.998,-78.034
USA,Hurricane (Typhoon),Helene,43951,2022,OPA/AWCF,Unk,Unk,"Facility and Infrastructure Damage Estimates still under development.  Facility Repairs, multiple facilities.  Validation inspection to be scheduled on site for Contractor's ROM submittal of repairs ",Radford Army Ammunition Plant,VA,1402160.0,37.1814,-80.5816
USA,Hurricane (Typhoon),Helene,43952,2022,OMA,131,Unk,Replace LMR Tower,Fort Stewart,GA,2101659.0,31.8691,-81.6096
USAR,Hurricane (Typhoon),Milton,43952,2022,OMAR,132,FSRM,"Repair Window Leaks, Roof and Interior Water Damages",MacDill Air Force Base,FL,1826049.0,27.8493,-82.5212
USAR,Hurricane (Typhoon),Helene,43955,2022,OMAR,132,FSRM,Repair Roof Leaks and Interior Water Damage,Fort Knox,KY,4773244.0,37.9161,-85.9565
USA,Hurricane (Typhoon),Milton,43957,2022,NAF,NAF,Unk,Magnolia Old Loading Dock Fence damage,Shades of Green Resort,FL,2581868.0,28.4094,-81.5916
USAR,Hurricane (Typhoon),Helene,43958,2022,OMAR,132,FSRM,Repair Roof and Interior Water Damage,Tampa,FL,1215478.0,27.9506,-82.4572
USA,Hurricane (Typhoon),Debby,43958,2022,OMA,132,FSRM,Flooding,Fort Liberty,NC,4498748.0,35.1402,-79.006
USA,Strong Wind,,43966,2022,OMA,132,FSRM,"Wind storm:  Multiple bldgs, roof repairs, gutters, fascia",Fort Riley,KS,3194532.0,39.0872,-96.8136
USA,Hurricane (Typhoon),Milton,43973,2022,NAF,NAF,Unk,Hotel Entry--Landscaping Fallen tree,Shades of Green Resort,FL,2905878.0,28.4094,-81.5916
USA,Hurricane (Typhoon),Milton,43973,2022,NAF,NAF,Unk,Palm Wing 5th floor room damage,Shades of Green Resort,FL,450217.0,28.4094,-81.5916
USA,Tropical Storm,Cyclone #8,43977,2022,TWCF,Unk,932,"Repair Interior rail (Tracks 20/21/45A and 46), TWCF infrastructure pepairs to include but not limited to Berms/bldgs/ammo holding pads.  IGE will be provided in FY25 and project repairs will then be seperated by infrastructure.  MISSION ESSENTIAL REPAIRS",Military Ocean Terminal Sunny Point,NC,4758557.0,33.998,-78.034
USA,Hurricane (Typhoon),Helene,43982,2022,OMA,131,Unk,"Labor, OT  and Travel for DAC Deployed to FEGA. ",Fort Novosel,AL,4658303.0,31.3378,-85.711
USAR,Hurricane (Typhoon),Helene,43991,2022,OMAR,132,FSRM,Replace Roof and  Repair Interior Water Damage,Charleston,SC,688890.0,32.7765,-79.9311
USA,Hurricane (Typhoon),Milton,44000,2022,NAF,NAF,Unk,Express Café bus stop area water leak,Shades of Green Resort,FL,4876816.0,28.4094,-81.5916
USA,Wildfire,,44004,2022,OMA,132,FSRM,Fire Damage,Fort Liberty,NC,3268352.0,35.1402,-79.006
